headline,url
Do you have 'eco-anxiety'? Here's how to find out,https://edition.cnn.com/2022/01/28/health/eco-anxiety-harmful-for-health-wellness/index.html
See inside German-led NATO base near Ukraine ,https://edition.cnn.com/videos/world/2022/01/28/nato-base-germany-lithuania-cbc-affil-ldn-vpx.cbc
A woman has never won this Oscar. That could soon change,https://edition.cnn.com/style/article/women-cinematographers-oscars-ari-wegner-claire-mathon-helene-louvart-spc-intl/index.html
Inside the $128M heist that shocked the world -- and the police chase that followed,https://edition.cnn.com/style/article/dresden-green-vault-heist-trial-intl-cmd/index.html
Iranian women allowed to watch landmark moment as Iran qualifies for World Cup,https://edition.cnn.com/2022/01/28/football/iranian-women-football-world-cup-qualification-spt-intl/index.html
Must-watch videos of the week,https://edition.cnn.com/2022/01/28/app-news-section/videos-of-the-week-mobile-january-28/index.html
Breakfast around the world: How different places start the day,https://edition.cnn.com/travel/article/breakfast-food-around-the-world/index.html
Nadal is just one win away from becoming tennis GOAT,https://edition.cnn.com/2022/01/28/tennis/rafael-nadal-australian-open-grand-slam-record-spt-intl/index.html
Here's the way to exercise for better balance,https://edition.cnn.com/2022/01/28/health/exercises-to-improve-balance-wellness/index.html
'How can you be so bad?' Medvedev clashes with umpire in semifinal win,https://edition.cnn.com/2022/01/28/tennis/daniil-medvedev-australian-open-semifinal-spt-intl/index.html
